nom_img_B;numech_B;nom_img_T;numech_T;ecart_numech;distance_features
2025_Conforme_1_Cam_B_1_376.jpg;376;2025_Conforme_1_Cam_T_1_309.jpg;309;-67;0.1316
2025_Conforme_1_Cam_B_1_377.jpg;377;2025_Conforme_1_Cam_T_1_305.jpg;305;-72;0.0994
2025_Conforme_1_Cam_B_1_385.jpg;385;2025_Conforme_1_Cam_T_1_370.jpg;370;-15;0.0720
2025_Conforme_1_Cam_B_1_387.jpg;387;2025_Conforme_1_Cam_T_1_327.jpg;327;-60;0.0848
2025_Conforme_1_Cam_B_1_394.jpg;394;2025_Conforme_1_Cam_T_1_354.jpg;354;-40;0.3269
2025_Conforme_1_Cam_B_1_396.jpg;396;2025_Conforme_1_Cam_T_1_353.jpg;353;-43;0.1861
2025_Conforme_1_Cam_B_1_397.jpg;397;2025_Conforme_1_Cam_T_1_326.jpg;326;-71;0.2793
2025_Conforme_1_Cam_B_1_399.jpg;399;2025_Conforme_1_Cam_T_1_358.jpg;358;-41;0.1108
2025_Conforme_1_Cam_B_1_407.jpg;407;2025_Conforme_1_Cam_T_1_338.jpg;338;-69;0.1778
2025_Conforme_1_Cam_B_1_412.jpg;412;2025_Conforme_1_Cam_T_1_340.jpg;340;-72;0.0854
2025_Conforme_1_Cam_B_1_413.jpg;413;2025_Conforme_1_Cam_T_1_369.jpg;369;-44;0.0924
